Retweeter,Retweeted
Mark_Amodei,Steve_Scalise
Paul_Cook_(politician),Cathy_McMorris_Rodgers
Paul_Cook_(politician),Paul_Ryan
Paul_Cook_(politician),Ed_Royce
Paul_Cook_(politician),Paul_Ryan
Paul_Cook_(politician),Kevin_McCarthy_(U.S._Representative)
Paul_Cook_(politician),Paul_Ryan
Paul_Cook_(politician),Paul_Ryan
Ed_Royce,Steve_Scalise
Ed_Royce,Steve_Scalise
Ed_Royce,Paul_Ryan
Ed_Royce,Steve_Scalise
Ed_Royce,Paul_Ryan
Ed_Royce,Joyce_Beatty
Ed_Royce,Steve_Scalise
Ed_Royce,Ileana_Ros-Lehtinen
Ed_Royce,Kevin_Brady
Ed_Royce,Ed_Royce
Joe_Courtney_(politician),Mike_Doyle_(American_politician)
Sean_Duffy,Greg_Walden
Sean_Duffy,Richard_Hudson_(American_politician)
Sean_Duffy,Sean_Duffy
Sean_Duffy,Sean_Duffy
Sean_Duffy,Steve_Stivers
Sean_Duffy,Sean_Duffy
Sean_Duffy,Sean_Duffy
Sean_Duffy,Cathy_McMorris_Rodgers
Sean_Duffy,Sean_Duffy
Sean_Duffy,Sean_Duffy
Sean_Duffy,Cathy_McMorris_Rodgers
Sean_Duffy,Sean_Duffy
Sean_Duffy,Sean_Duffy
Sean_Duffy,Sean_Duffy
Sean_Duffy,Sean_Duffy
Sean_Duffy,Steve_Scalise
Sean_Duffy,Sean_Duffy
Sean_Duffy,Sean_Duffy
Sean_Duffy,Sean_Duffy
Sean_Duffy,Sean_Duffy
Sean_Duffy,Mike_Gallagher_(American_politician)
Sean_Duffy,Sean_Duffy
Sean_Duffy,Sean_Duffy
Sean_Duffy,Sean_Duffy
Sean_Duffy,Sean_Duffy
Sean_Duffy,Steve_Scalise
Sean_Duffy,Cathy_McMorris_Rodgers
Sean_Duffy,Sean_Duffy
Sean_Duffy,Jason_Smith_(politician)
Sean_Duffy,Sean_Duffy
Sean_Duffy,Sean_Duffy
Sean_Duffy,Sean_Duffy
Sean_Duffy,Sean_Duffy
Sean_Duffy,Cathy_McMorris_Rodgers
Sean_Duffy,Sean_Duffy
Sean_Duffy,Paul_Ryan
Sean_Duffy,Paul_Ryan
Sean_Duffy,Tom_Graves
Sean_Duffy,Sean_Duffy
Sean_Duffy,Patrick_McHenry
Dave_Reichert,Ann_Wagner
Dave_Reichert,Ann_Wagner
Dave_Reichert,Kevin_Brady
Dave_Reichert,Steve_Scalise
Jim_McGovern_(American_politician),Gwen_Moore
Jim_McGovern_(American_politician),Bill_Pascrell
Jim_McGovern_(American_politician),Lloyd_Doggett
Jim_McGovern_(American_politician),Chellie_Pingree
Jim_McGovern_(American_politician),Katherine_Clark
Jim_McGovern_(American_politician),Ileana_Ros-Lehtinen
Jim_McGovern_(American_politician),Pramila_Jayapal
Jim_McGovern_(American_politician),Steny_Hoyer
Jim_McGovern_(American_politician),Jim_McGovern_(American_politician)
Jim_McGovern_(American_politician),Elijah_Cummings
Jim_McGovern_(American_politician),Barbara_Lee
Jim_McGovern_(American_politician),Frank_Pallone
Jim_McGovern_(American_politician),Alma_Adams
Jim_McGovern_(American_politician),Pramila_Jayapal
Jim_McGovern_(American_politician),Barbara_Lee
Jim_McGovern_(American_politician),Jackie_Speier
Rick_W._Allen,Paul_Ryan
Mac_Thornberry,Paul_Ryan
Mac_Thornberry,Rob_Wittman
Mac_Thornberry,Paul_Ryan
Mac_Thornberry,Paul_Ryan
Mac_Thornberry,Chuck_Fleischmann
Mac_Thornberry,Paul_Ryan
Mac_Thornberry,Don_Young
Mac_Thornberry,Paul_Ryan
Mac_Thornberry,Kevin_McCarthy_(U.S._Representative)
Mac_Thornberry,Cathy_McMorris_Rodgers
Mac_Thornberry,Mike_Gallagher_(American_politician)
Sam_Johnson,Steve_Scalise
Sam_Johnson,Steve_Scalise
Sam_Johnson,Pete_Olson
Ruben_Gallego,Jackie_Speier
Ruben_Gallego,Jamie_Raskin
Ruben_Gallego,Sheila_Jackson_Lee
Ruben_Gallego,Raúl_Grijalva
Ruben_Gallego,Joaquín_Castro
Ruben_Gallego,Eric_Swalwell
Ruben_Gallego,Marc_Veasey
Ruben_Gallego,Eric_Swalwell
Ruben_Gallego,Don_Beyer
David_Kustoff,Steve_Scalise
David_Kustoff,Cathy_McMorris_Rodgers
David_Kustoff,Chuck_Fleischmann
Martha_McSally,Martha_McSally
Luke_Messer,Mark_Meadows_(North_Carolina_politician)
Mark_DeSaulnier,Debbie_Dingell
Mark_DeSaulnier,Mark_Pocan
Mark_DeSaulnier,Ann_McLane_Kuster
Mark_DeSaulnier,Jerry_Nadler
Mark_DeSaulnier,Joe_Kennedy_III
Mark_DeSaulnier,Richard_Neal
Mark_DeSaulnier,Mark_Pocan
Mark_DeSaulnier,Donald_Norcross
Mark_DeSaulnier,Debbie_Dingell
Mark_DeSaulnier,Adam_Schiff
Mike_Conaway,Paul_Ryan
Mike_Conaway,Martha_Roby
Mike_Conaway,Paul_Ryan
Mike_Conaway,David_Rouzer
Mike_Conaway,Rick_Crawford_(politician)
Mike_Conaway,Rick_Crawford_(politician)
Mike_Conaway,Rodney_Davis_(politician)
Mike_Conaway,Austin_Scott_(politician)
Mike_Conaway,Paul_Ryan
Mike_Conaway,Doug_LaMalfa
Mike_Conaway,Paul_Ryan
Mike_Conaway,Cathy_McMorris_Rodgers
Mike_Conaway,Mike_Bost
Mike_Conaway,Austin_Scott_(politician)
Mike_Conaway,Steve_Scalise
Mike_Conaway,Adam_Kinzinger
Mike_Conaway,Paul_Ryan
Mike_Conaway,Steve_Scalise
Mike_Conaway,Mike_Rogers_(Alabama_politician)
Mike_Conaway,Rick_W._Allen
Mike_Conaway,Mike_Conaway
Mike_Conaway,Jeb_Hensarling
Mike_Conaway,Will_Hurd
Jody_Hice,Lee_Zeldin
Jody_Hice,Mark_Meadows_(North_Carolina_politician)
Don_Young,Paul_Ryan
Hal_Rogers,Katherine_Clark
Hal_Rogers,Paul_Ryan
Hal_Rogers,Paul_Ryan
Hal_Rogers,Paul_Ryan
Mike_Johnson_(Louisiana_politician),Bruce_Westerman
Mike_Johnson_(Louisiana_politician),Ralph_Abraham_(politician)
Mike_Johnson_(Louisiana_politician),Charlie_Dent
Mike_Johnson_(Louisiana_politician),Darin_LaHood
Mike_Johnson_(Louisiana_politician),Charlie_Dent
Mike_Johnson_(Louisiana_politician),Claudia_Tenney
Mike_Johnson_(Louisiana_politician),Kevin_Brady
Mike_Johnson_(Louisiana_politician),Steve_Scalise
Mike_Johnson_(Louisiana_politician),Steve_Scalise
Mike_Johnson_(Louisiana_politician),Paul_Ryan
Brian_Higgins,Carlos_Curbelo
Brian_Higgins,Stephanie_Murphy
Brian_Higgins,Stephanie_Murphy
Lucille_Roybal-Allard,Ileana_Ros-Lehtinen
Lucille_Roybal-Allard,Ileana_Ros-Lehtinen
John_Lewis_(civil_rights_leader),Jimmy_Gomez
