WikiPageName,Party,State,Sex,Age
John_Conyers,Democratic,Michigan,Male,90
Don_Young,Republican,Alaska,Male,86
Jim_Sensenbrenner,Republican,Wisconsin,Male,76
Hal_Rogers,Republican,Kentucky,Male,81
Chris_Smith_(New_Jersey_politician),Republican,New Jersey,Male,66
Steny_Hoyer,Democratic,Maryland,Male,80
Marcy_Kaptur,Democratic,Ohio,Female,73
Sander_Levin,Democratic,Michigan,Male,88
Joe_Barton,Republican,Texas,Male,70
Pete_Visclosky,Democratic,Indiana,Male,70
Peter_DeFazio,Democratic,Oregon,Male,72
John_Lewis_(civil_rights_leader),Democratic,Georgia,Male,79
Louise_Slaughter,Democratic,New York,Female,90
Lamar_Smith,Republican,Texas,Male,72
Fred_Upton,Republican,Michigan,Male,66
Nancy_Pelosi,Democratic,California,Female,79
Jimmy_Duncan_(politician),Republican,Tennessee,Male,72
Frank_Pallone,Democratic,New Jersey,Male,68
Eliot_Engel,Democratic,New York,Male,72
Nita_Lowey,Democratic,New York,Female,82
Richard_Neal,Democratic,Massachusetts,Male,70
Dana_Rohrabacher,Republican,California,Male,72
Ileana_Ros-Lehtinen,Republican,Florida,Female,67
José_E._Serrano,Democratic,New York,Male,76
David_Price_(American_politician),Democratic,North Carolina,Male,79
Rosa_DeLauro,Democratic,Connecticut,Female,76
Collin_Peterson,Democratic,Minnesota,Male,75
Maxine_Waters,Democratic,California,Female,81
Sam_Johnson,Republican,Texas,Male,89
Jerry_Nadler,Democratic,New York,Male,72
Jim_Cooper,Democratic,Tennessee,Male,65
Xavier_Becerra,Democratic,California,Male,61
Sanford_Bishop,Democratic,Georgia,Male,72
Ken_Calvert,Republican,California,Male,66
Jim_Clyburn,Democratic,South Carolina,Male,79
Anna_Eshoo,Democratic,California,Female,76
Bob_Goodlatte,Republican,Virginia,Male,67
Gene_Green,Democratic,Texas,Male,72
Luis_Gutiérrez,Democratic,Illinois,Male,65
Alcee_Hastings,Democratic,Florida,Male,83
Eddie_Bernice_Johnson,Democratic,Texas,Male,84
Peter_T._King,Republican,New York,Male,75
Carolyn_Maloney,Democratic,New York,Female,73
Lucille_Roybal-Allard,Democratic,California,Female,78
Ed_Royce,Republican,California,Male,68
Bobby_Rush,Democratic,Illinois,Male,73
Bobby_Scott_(politician),Democratic,Virginia,Male,72
Nydia_Velázquez,Democratic,New York,Female,66
Bennie_Thompson,Democratic,Mississippi,Male,71
Frank_Lucas_(Oklahoma_politician),Republican,Oklahoma,Male,59
Lloyd_Doggett,Democratic,Texas,Male,73
Mike_Doyle_(American_politician),Democratic,Pennsylvania,Male,66
Rodney_Frelinghuysen,Republican,New Jersey,Male,73
Sheila_Jackson_Lee,Democratic,Texas,Female,69
Walter_B._Jones_Jr.,Republican,North Carolina,Male,76
Frank_LoBiondo,Republican,New Jersey,Male,73
Zoe_Lofgren,Democratic,California,Female,71
Mac_Thornberry,Republican,Texas,Male,61
Elijah_Cummings,Democratic,Maryland,Male,68
Earl_Blumenauer,Democratic,Oregon,Male,71
Robert_Aderholt,Republican,Alabama,Male,54
Kevin_Brady,Republican,Texas,Male,64
Danny_K._Davis,Democratic,Illinois,Male,78
Diana_DeGette,Democratic,Colorado,Female,62
Kay_Granger,Republican,Texas,Female,76
Ron_Kind,Democratic,Wisconsin,Male,56
Jim_McGovern_(American_politician),Democratic,Massachusetts,Male,60
Bill_Pascrell,Democratic,New Jersey,Male,82
Pete_Sessions,Republican,Texas,Male,64
Brad_Sherman,Democratic,California,Male,65
John_Shimkus,Republican,Illinois,Male,61
Adam_Smith_(politician),Democratic,Washington,Male,54
Gregory_Meeks,Democratic,New York,Male,66
Barbara_Lee,Democratic,California,Female,73
Bob_Brady,Democratic,Pennsylvania,Male,74
Steve_Chabot,Republican,Ohio,Male,66
Mike_Capuano,Democratic,Massachusetts,Male,67
Joe_Crowley,Democratic,New York,Male,57
John_B._Larson,Democratic,Connecticut,Male,71
Grace_Napolitano,Democratic,California,Female,83
Paul_Ryan,Republican,Wisconsin,Male,49
